alpha,topn,ndcg@10
0.0,1,0.35780245301555974
0.0,3,0.35048978201386516
0.0,10,0.38712407739186483
0.0,30,0.39023158290404275
0.0,100,0.39023158290404275
0.25,1,0.35780245301555974
0.25,3,0.3604326071013794
0.25,10,0.38070196168419235
0.25,30,0.3875474392063747
0.25,100,0.3875474392063747
0.5,1,0.35780245301555974
0.5,3,0.36014802236291144
0.5,10,0.3850642738914386
0.5,30,0.3957304862496696
0.5,100,0.39585487467963654
0.75,1,0.35780245301555974
0.75,3,0.35928358791116904
0.75,10,0.38044946089462306
0.75,30,0.38693979725804145
0.75,100,0.3996663574797154
1.0,1,0.35780245301555974
1.0,3,0.35780245301555974
1.0,10,0.35780245301555974
1.0,30,0.35780245301555974
1.0,100,0.35780245301555974
