alpha,topn,ndcg@10
0.0,1,0.14963544514522528
0.0,3,0.19541549803106728
0.0,10,0.32522538050476496
0.0,30,0.3544985772563041
0.0,100,0.38992942577919815
0.25,1,0.14963544514522528
0.25,3,0.1889260986975275
0.25,10,0.27817700730225764
0.25,30,0.323038409304638
0.25,100,0.345599475805129
0.5,1,0.14963544514522528
0.5,3,0.16167869156744066
0.5,10,0.22167670207840542
0.5,30,0.28942876655493316
0.5,100,0.3116814687700782
0.75,1,0.14963544514522528
0.75,3,0.1533431077474919
0.75,10,0.18744997500434668
0.75,30,0.22368294906763597
0.75,100,0.23774730271697153
1.0,1,0.14963544514522528
1.0,3,0.14963544514522528
1.0,10,0.14963544514522528
1.0,30,0.14963544514522528
1.0,100,0.14963544514522528
